word,Freq
black,2853
dog,6155
is,6907
running,1587
after,145
white,2921
in,14085
the,13511
snow,1164
chasing,144
brown,1995
through,1533
two,4246
dogs,1620
chase,29
each,318
other,564
across,353
snowy,318
ground,270
play,576
together,314
low,54
lying,69
body,141
of,4967
water,2007
little,1266
baby,322
plays,392
croquet,5
girl,2414
next,535
to,2305
truck,64
child,1119
playing,1485
croquette,1
by,901
kid,137
front,996
car,318
with,5763
put,17
and,6672
ball,1326
boy,2633
hammer,4
beside,172
has,428
something,251
hot,26
pink,543
its,698
mouth,736
holding,972
hat,493
shirt,1361
carrying,341
while,1442
walking,869
looking,563
forward,18
along,380
beach,730
wearing,2271
collar,136
walks,400
on,8001
sand,334
near,752
large,894
ocean,313
red,1976
frisbee,239
standing,1302
sandy,91
drops,4
disc,18
flying,112
air,766
catching,81
dropping,8
cyclist,51
helmet,288
riding,698
pavement,38
bike,647
street,697
person,1118
down,1362
woman,2543
wears,86
blue,1667
as,625
she,62
goes,54
for,706
ride,196
shade,15
roa,6
man,5372
dressed,409
purple,244
bandanna,32
smiles,138
at,2101
people,2092
watching,188
him,294
leather,49
chaps,4
chainmail,1
codpiece,1
poses,100
camera,520
stands,654
onlookers,35
there,229
men,855
tshirt,125
woodland,14
runs,724
some,453
trees,193
young,1976
dancing,108
around,487
short,53
sleeved,9
jeans,174
stops,12
smile,86
dress,260
back,283
grenade,1
smiling,353
braids,3
looks,373
green,924
skier,132
yellow,929
jacket,504
airborne,55
above,163
mountains,146
jumps,726
high,211
view,69
skiing,82
fluorescent,1
very,131
it,289
though,17
he,151
somone,1
doing,309
ski,66
jump,296
pants,204
appears,29
almost,14
fly,27
into,757
sky,105
photographer,21
over,1062
hills,21
videotaping,2
natural,13
landscape,33
out,553
rolling,32
tripod,11
lady,166
her,860
set,78
up,899
field,973
record,7
bunch,43
girls,638
cheerleader,15
outfits,45
group,909
cheerleaders,16
parade,58
perform,21
many,135
walk,229
uniforms,81
boat,202
canopy,6
floating,28
calm,8
waters,21
roof,10
middle,116
solitude,1
floats,14
lake,228
catches,97
midair,148
terrier,25
mix,3
leaping,100
object,122
old,134
sitting,1018
an,1807
advertisement,10
asian,149
waiting,82
underground,4
train,78
stop,23
sits,437
transit,2
station,24
backlit,8
